Worker ID,Worksite ID,Is Male,Eigen. Centrality,No. Notes,Time To First Convo (Quart. 1),Time To First Convo (Quart. 2),Time To First Convo (Quart. 3),Time To First Convo (Quart. 4),Never Contacted,Signed,Log(Eigen. Centrality),Log(No. Notes)
11439,99,0.5,0.4999999999843112,2,0.0,0.0,0.0,1.0,0,0,-0.6931471805913229,0.6931471805599453
11451,99,0.5,0.4999999999843112,2,0.0,0.0,0.0,1.0,0,0,-0.6931471805913229,0.6931471805599453
18705,99,1.0,0.4999999999843112,3,0.0,0.0,1.0,0.0,0,0,-0.6931471805913229,1.0986122886681098
19031,99,0.0,0.4999999999843112,3,0.0,1.0,0.0,0.0,0,0,-0.6931471805913229,1.0986122886681098
7256,99,0.0,9.53674316376326e-07,1,0.0,1.0,0.0,0.0,0,0,-13.862943611230284,0.0
7269,99,1.0,9.53674316376326e-07,1,0.0,1.0,0.0,0.0,0,0,-13.862943611230284,0.0
9446,99,0.0,9.53674316376326e-07,8,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,2.0794415416798357
9525,99,0.0,9.53674316376326e-07,3,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,1.0986122886681098
10090,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
10098,99,0.5,9.53674316376326e-07,1,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,0.0
10108,99,0.0,9.53674316376326e-07,3,0.0,1.0,0.0,0.0,0,0,-13.862943611230284,1.0986122886681098
10978,99,0.0,9.53674316376326e-07,8,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,2.0794415416798357
10991,99,0.0,9.53674316376326e-07,3,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,1.0986122886681098
11014,99,1.0,9.53674316376326e-07,4,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,1.3862943611198906
11303,99,0.5,9.53674316376326e-07,2,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.6931471805599453
11309,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
11313,99,0.5,9.53674316376326e-07,2,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.6931471805599453
11316,99,0.5,9.53674316376326e-07,2,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.6931471805599453
11319,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
11356,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
11417,99,0.5,9.53674316376326e-07,1,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.0
11430,99,0.5,9.53674316376326e-07,1,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.0
11456,99,0.5,9.53674316376326e-07,1,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.0
11470,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
14374,99,1.0,9.53674316376326e-07,2,0.0,0.0,1.0,0.0,0,1,-13.862943611230284,0.6931471805599453
15795,99,0.5,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
16597,99,0.0,9.53674316376326e-07,6,0.0,1.0,0.0,0.0,0,0,-13.862943611230284,1.791759469228055
17543,99,0.0,9.53674316376326e-07,5,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,1.6094379124341003
17562,99,0.0,9.53674316376326e-07,1,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,0.0
17813,99,0.0,9.53674316376326e-07,2,0.0,0.0,1.0,0.0,0,0,-13.862943611230284,0.6931471805599453
18442,99,0.0,9.53674316376326e-07,3,0.0,1.0,0.0,0.0,0,0,-13.862943611230284,1.0986122886681098
18575,99,0.0,9.53674316376326e-07,4,0.0,0.0,0.0,1.0,0,0,-13.862943611230284,1.3862943611198906
18617,99,1.0,9.53674316376326e-07,0,1.0,0.0,0.0,0.0,0,0,-13.862943611230284,-inf
